434      1.296 5.19 
456      1.268 11.17 
457      1.283 8.36 
458      1.259 11.48 
465      1.253 11.40 
466      1.290 7.63 
487      1.293 3.74 
489      1.274 4.27 
494      1.254 5.13 
497      1.232 14.62 
505      1.264 11.06 
506      1.284 11.44 
507      1.278 10.18 
509      1.292 8.99 
512      1.293 8.39 
519      1.272 10.89 
523      1.257 10.64 
527      1.274 6.89 
534      1.275 9.83 
539      1.297 1.26 
543      1.238 14.10 
546      1.272 11.23 
547      1.252 7.84 
552      1.276 7.12 
556      1.312 8.21 
561      1.258 12.05 
565      1.252 11.39 
572      1.306 8.69 
574      1.255 12.01 
582      1.283 10.78 
585      1.265 10.09 
592      1.258 5.08 
596      1.267 8.03 
603      1.252 13.36 
605      1.278 4.09 
616      1.256 10.43 
620      1.251 16.16 
643      1.274 11.57 
649      1.276 10.64 
659      1.247 8.29 
661      1.297 9.03 
677      1.274 8.27 
687      1.260 10.73 
691      1.283 8.31 
693      1.256 10.86 
703      1.261 11.05 
706      1.285 6.55 
713      1.281 5.80 
719      1.279 7.79 
723      1.287 12.25 
724      1.330 6.30 
726      1.328 6.32 
728      1.315 7.84 
734      1.269 6.56 
739      1.263 10.16 
756      1.243 9.63 
758      1.245 12.10 
768      1.266 8.85 
784      1.257 7.63 
793      1.272 10.46 
797      1.269 10.47 
807      1.245 13.83 
809      1.254 7.04 
810      1.242 10.83 
822      1.269 11.91 
831      1.325 4.19 
845      1.262 5.77 
851      1.249 10.65 
858      1.247 9.75 
862      1.274 7.27 
872      1.247 7.66 
877      1.274 6.06 
884      1.243 9.17 
887      1.279 7.99 
893      1.276 7.84 
896      1.292 4.36 
908      1.261 10.02 
911      1.281 8.85 
914      1.254 9.29 
915      1.261 12.08 
916      1.261 8.15 
920      1.273 7.36 
934      1.278 5.46 
945      1.251 16.20 
949      1.277 5.61 
982      1.291 6.61 
993      1.239 12.50 
1007     1.251 9.77 
1014     1.288 9.72 
1015     1.253 12.68 
1044     1.279 5.70 
1050     1.282 6.76 
1082     1.274 10.43 
1086     1.249 11.23 
1094     1.336 6.18 
1097     1.223 9.59 
1102     1.256 6.82 
1105     1.271 7.23 
1107     1.300 9.77 
1110     1.237 9.03 
1120     1.257 7.20 
1127     1.247 8.08 
1128     1.283 6.74 
1131     1.281 6.92 
1138     1.281 6.03 
1183     1.287 8.69 
1187     1.238 6.97 
1198     1.249 10.54 
1205     1.252 12.34 
1208     1.249 9.53 
1216     1.264 11.25 
1221     1.307 9.28 
1228     1.237 10.77 
1237     1.289 3.88 
1241     1.248 10.23 
1275     1.287 6.50 
1290     1.252 6.51 
1297     1.246 4.82 
1310     1.287 8.62 
1315     1.273 5.84 
1322     1.255 8.43 
1350     1.251 10.16 
1357     1.306 5.83 
1405     1.208 13.85 
1406     1.288 3.94 
1408     1.248 8.54 
1418     1.251 2.41 
1429     1.236 9.07 
1455     1.256 10.91 
1478     1.310 8.26 
1494     1.258 11.79 
1496     1.294 5.26 
1499     1.278 9.72 
1506     1.248 11.07 
1533     1.220 9.44 
1535     1.250 10.17 
1537     1.255 9.60 
1577     1.237 13.34 
1589     1.261 7.13 
1619     1.254 9.10 
1620     1.256 9.53 
1621     1.245 9.85 
1637     1.239 8.97 
1662     1.273 9.57 
1671     1.266 6.80 
1672     1.253 9.48 
1718     1.264 7.38 
1730     1.259 8.86 
1731     1.254 12.13 
1742     1.254 11.29 
1753     1.247 11.66 
